"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"C1";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C";
"C2";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C";
"C3";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C";
"C4";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C";
"C5";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C";
"C6";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C";
"C7";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C";
"C8";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C";
"C9";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C";
"C10";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C";
"C11";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C";
"C12";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C";
"CON_ROT1";"";"BANANEN_BUCHSE";"BANANENBUCHSE";"FEMALE HEADER";"";"";"";"";"";
"CON_ROT2";"";"BANANEN_BUCHSE";"BANANENBUCHSE";"FEMALE HEADER";"";"";"";"";"";
"CON_SW1";"";"BANANEN_BUCHSE";"BANANENBUCHSE";"FEMALE HEADER";"";"";"";"";"";
"CON_SW2";"";"BANANEN_BUCHSE";"BANANENBUCHSE";"FEMALE HEADER";"";"";"";"";"";
"D1";"1N4148";"MBR0520LT";"SOD123";"SCHOTTKY BARRIER RECTIFIER";"";"";"";"";"";
"D2";"BAT54";"BAT54";"SOT23";"Schottky Diodes";"";"";"";"";"";
"D3";"BAT54";"BAT54";"SOT23";"Schottky Diodes";"";"";"";"";"";
"D4";"BAT54";"BAT54";"SOT23";"Schottky Diodes";"";"";"";"";"";
"IC1";"ADS1115_IC";"ADS1115_IC";"MSOP10";"edit this description";"";"";"";"";"";
"IC2";"SGM8582";"AD826R";"SO8";"High-Speed, Low-Power Dual Operational Amplifier";"ALTERA CORPORATION";"AD826AR";"1651291";"05F7688";"";
"IC3";"TP4056";"TP4056";"SOP08";"edit this description";"";"";"";"";"";
"IC4";"FS312F-G";"FS312F-G";"SOT23-6";"edit this description";"";"";"";"";"";
"IC5";"MT3608";"MT3608";"SOT23-6";"90% EFFICIENT SYNCHRONOUS BOOST CONVERTER WITH 600-mA SWITCH";"";"";"";"";"";
"IC6";"FS8205";"FS8205";"SOT23-6";"";"";"";"";"";"";
"ISP";"";"PINHD-2X3_SMD";"2X03";"PIN HEADER";"";"";"";"";"";
